Date,Event name,Venue,Lineup
2018-11-10,1 Yaşında: The Away Days [live] - Ece Özel - Kaan Sezyum,[mecra],"The Away Days, Ece Özel, Kaan Sezyum"
2018-11-14,"Tuğçe Şenoğul, Kutay Soyocak",Zor,"Tuğçe Şenoğul, Kutay Soyocak"
2018-11-15,NeoCraft,Zor,""
2018-11-16,Filhos do Ritmo,Bina,""
2018-11-17,Ferhat Albayrak Procombo,RX Istanbul,"Ferhat Albayrak, Procombo, Dirgen"
2018-11-21,Mustafa Misir,Zor,""
2018-11-22,Çağan Tunalı,Zor,Cagan Tunali
2018-11-23,GUY J + Gadi Mitrani,RX Istanbul,"Guy J, Gadi Mitrani"
2018-11-24,Saveas: Zombies In Miami • Evrim de Evrim • Just D,RX Istanbul,"Zombies in Miami, Evrim de Evrim, Just D"
2018-11-25,Lampshade No. 5,Arkaoda,"Portrait and a Dream, Aleksandir, Mr. Zula, Supu"
2018-11-28,Melike Şahin - akustik,[mecra],Melike Şahin
2018-11-29,Glow Thursday,Glow,"Parlando, Sahand F, Pakan"
2018-11-30,Uğur Project + Koray T,RX Istanbul,"Ugur Project, Koray T, Mehmet Ozbek"
2018-12-01,Gurko // Oner,Zor,""
2018-12-02,Tatlı Sert Pazar,Nasip,"Hosted by, Asena Atalay, Warm-up, Garen Asil, Görkem Sengel ile Türkçe Pop Klasikleri, DJ Style-ist a.k.a Metehan Çorumluoğlu"
2018-12-05,Umut Kahya,Zor,""
2018-12-06,Konser: The Sick Bags [live],[mecra],"The Sick Bags, Batının Kötü Cadısı"
2018-12-07,Undomondo,Zor,""
2018-12-08,Gez & Analog,Zor,"Gez, Analog Disko"
2018-12-09,Zeki Müren Doğum Günü Kutlaması - Merhaba Canım,[mecra],"Melike Şahin, M. Deniz Deniz, Ahmet Atakan"
2018-12-12,Man in the Tub (Live) & Cem Kayıran,Zor,"Man in the Tub, Cem Kayıran"
2018-12-13,Destroy Earth Farketmez - [concerts],[mecra],"Destroy Earth, Farketmez"
2018-12-14,"iN'terpretation Night: Cestlek & Mozzy (iN, AZ)",Minimüzikhol,"Cestlek, Mozzy"
2018-12-15,Tangun + Junior,RX Istanbul,"Tangun, Junior"
2018-12-19,December 19-22,Zor,"Aliço, Emine Topal, Ece Özel, Cengo, Schnell Schnell"
2018-12-20,December 19-22,Zor,"Aliço, Emine Topal, Ece Özel, Cengo, Schnell Schnell"
2018-12-21,12th Year Anniversary Beatgate Showcase,Module,""
2018-12-22,Seretan,[mecra],RAW
2018-12-26,Techno Wednesday,Glow,"Ashkan K, Amiri, Columbo"
2018-12-27,Housing Crash Onat Önol - Live Sessions,[mecra],"Housing Crash, Onat Önol"
